epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4322,1.56747,8.69481,1.48364,0.11662,0.09229,0.07362,0.04703,1.38826,7.56448,1.37468,0.000330645,0.000330645,0.0672661
2,132.751,1.47199,6.00963,1.44185,0.21388,0.19695,0.18649,0.11751,1.34439,4.79589,1.3879,0.00066396,0.00066396,0.0342661
3,200.473,1.49045,5.28397,1.44807,0.26445,0.26861,0.23976,0.14075,1.45978,4.12789,1.41833,0.000997204,0.000997204,0.00126602
4,267.262,1.45318,4.58896,1.43826,0.36991,0.29322,0.29284,0.17635,1.40597,3.31894,1.39034,0.000999756,0.000999756,0.000999756
5,334.333,1.4608,4.13296,1.40723,0.39634,0.36704,0.34814,0.21074,1.38954,3.00942,1.38934,0.000999566,0.000999566,0.000999566
6,399.93,1.38106,3.6947,1.39041,0.43105,0.37672,0.37648,0.22521,1.4124,2.87632,1.39771,0.000999322,0.000999322,0.000999322
7,464.768,1.39139,3.465,1.38856,0.48107,0.39656,0.40446,0.25485,1.29129,2.57303,1.33552,0.000999023,0.000999023,0.000999023
8,529.186,1.39084,3.21467,1.3722,0.53188,0.44059,0.45482,0.28568,1.30433,2.30663,1.35592,0.000998671,0.000998671,0.000998671
9,593.688,1.39129,3.22641,1.40225,0.55793,0.45103,0.46627,0.28917,1.33203,2.33502,1.36424,0.000998264,0.000998264,0.000998264
10,657.615,1.36747,2.94902,1.39771,0.58078,0.46249,0.49832,0.31203,1.31155,2.16895,1.35525,0.000997803,0.000997803,0.000997803
11,721.005,1.35629,2.82831,1.3871,0.55973,0.50067,0.50951,0.31231,1.34744,2.11141,1.38138,0.000997288,0.000997288,0.000997288
12,785.001,1.35647,2.6788,1.36205,0.58847,0.49709,0.53099,0.31973,1.38862,2.05727,1.3887,0.00099672,0.00099672,0.00099672
13,848.438,1.34821,2.69191,1.37839,0.57267,0.53446,0.55509,0.33909,1.36555,2.04154,1.37721,0.000996097,0.000996097,0.000996097
14,911.789,1.32946,2.54775,1.35582,0.61472,0.55635,0.56936,0.35667,1.3088,1.91341,1.35665,0.00099542,0.00099542,0.00099542
15,975.831,1.31775,2.5103,1.36607,0.62791,0.57415,0.59597,0.37231,1.32521,1.88235,1.37038,0.00099469,0.00099469,0.00099469
16,1039.46,1.28696,2.43098,1.34654,0.6463,0.57527,0.6172,0.39147,1.29315,1.8195,1.34081,0.000993906,0.000993906,0.000993906
17,1102.64,1.32258,2.44471,1.36406,0.65439,0.57819,0.60722,0.3846,1.29856,1.81029,1.33997,0.000993068,0.000993068,0.000993068
18,1164.71,1.3046,2.36441,1.35042,0.6584,0.57508,0.61431,0.39313,1.29206,1.79999,1.354,0.000992177,0.000992177,0.000992177
19,1227.45,1.29131,2.32416,1.36014,0.69112,0.60201,0.64039,0.41973,1.23848,1.70208,1.32153,0.000991232,0.000991232,0.000991232
20,1290.65,1.28596,2.28,1.33833,0.69644,0.60193,0.64647,0.41732,1.26418,1.72346,1.33447,0.000990234,0.000990234,0.000990234
21,1352.53,1.2953,2.21846,1.34634,0.69992,0.62286,0.66252,0.424,1.28133,1.6816,1.3412,0.000989183,0.000989183,0.000989183
22,1415.73,1.28878,2.20171,1.3342,0.71584,0.63164,0.67843,0.43333,1.26866,1.66032,1.33927,0.000988079,0.000988079,0.000988079
23,1478.83,1.26388,2.09453,1.32428,0.70927,0.6454,0.6872,0.43574,1.3087,1.61869,1.34639,0.000986922,0.000986922,0.000986922
24,1541.74,1.30737,2.12871,1.37213,0.696,0.63533,0.68801,0.45398,1.1866,1.64033,1.32103,0.000985711,0.000985711,0.000985711
25,1604.72,1.27166,2.16757,1.34199,0.71012,0.64482,0.69372,0.44443,1.26891,1.62134,1.34352,0.000984449,0.000984449,0.000984449
26,1666.18,1.27191,2.10175,1.38014,0.7633,0.65092,0.71989,0.46606,1.24665,1.5709,1.33345,0.000983133,0.000983133,0.000983133
27,1729.26,1.29077,2.15289,1.3305,0.77193,0.65368,0.73238,0.47391,1.27406,1.5475,1.33797,0.000981765,0.000981765,0.000981765
